database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB1_B,109_1.tif,374,388,uint8,True,,42.0,,42.0,,52.0,,49.0,,45.0,,0.0,10.0,10.0,-3.0,7.0,-4.0,3.0
DB1_B,109_2.tif,374,388,uint8,True,,67.0,,67.0,,60.0,,68.0,,61.0,,0.0,-7.0,-7.0,8.0,1.0,-7.0,-6.0
DB1_B,109_3.tif,374,388,uint8,True,,37.0,,37.0,,55.0,,54.0,,58.0,,0.0,18.0,18.0,-1.0,17.0,4.0,21.0
DB1_B,109_4.tif,374,388,uint8,True,,27.0,,27.0,,39.0,,27.0,,33.0,,0.0,12.0,12.0,-12.0,0.0,6.0,6.0
DB1_B,109_5.tif,374,388,uint8,True,,57.0,,57.0,,68.0,,69.0,,74.0,,0.0,11.0,11.0,1.0,12.0,5.0,17.0
DB1_B,109_6.tif,374,388,uint8,True,,15.0,,15.0,,28.0,,24.0,,33.0,,0.0,13.0,13.0,-4.0,9.0,9.0,18.0
DB1_B,109_7.tif,374,388,uint8,True,,65.0,,65.0,,72.0,,72.0,,69.0,,0.0,7.0,7.0,0.0,7.0,-3.0,4.0
DB1_B,109_8.tif,374,388,uint8,True,,33.0,,33.0,,48.0,,51.0,,57.0,,0.0,15.0,15.0,3.0,18.0,6.0,24.0
DB1_B,110_1.tif,374,388,uint8,True,,49.0,,49.0,,51.0,,57.0,,62.0,,0.0,2.0,2.0,6.0,8.0,5.0,13.0
DB1_B,110_2.tif,374,388,uint8,True,,53.0,,53.0,,61.0,,60.0,,66.0,,0.0,8.0,8.0,-1.0,7.0,6.0,13.0
DB1_B,110_3.tif,374,388,uint8,True,,53.0,,53.0,,55.0,,64.0,,77.0,,0.0,2.0,2.0,9.0,11.0,13.0,24.0
DB1_B,110_4.tif,374,388,uint8,True,,51.0,,51.0,,73.0,,70.0,,67.0,,0.0,22.0,22.0,-3.0,19.0,-3.0,16.0
DB1_B,110_5.tif,374,388,uint8,True,,55.0,,55.0,,58.0,,64.0,,62.0,,0.0,3.0,3.0,6.0,9.0,-2.0,7.0
DB1_B,110_6.tif,374,388,uint8,True,,54.0,,54.0,,57.0,,58.0,,66.0,,0.0,3.0,3.0,1.0,4.0,8.0,12.0
DB1_B,110_7.tif,374,388,uint8,True,,81.0,,81.0,,84.0,,80.0,,79.0,,0.0,3.0,3.0,-4.0,-1.0,-1.0,-2.0
DB1_B,110_8.tif,374,388,uint8,True,,61.0,,61.0,,69.0,,82.0,,69.0,,0.0,8.0,8.0,13.0,21.0,-13.0,8.0
DB2_B,101_1.tif,560,296,uint8,True,,71.0,,71.0,,69.0,,72.0,,74.0,,0.0,-2.0,-2.0,3.0,1.0,2.0,3.0
DB2_B,101_2.tif,560,296,uint8,True,,70.0,,70.0,,84.0,,77.0,,72.0,,0.0,14.0,14.0,-7.0,7.0,-5.0,2.0
DB2_B,101_3.tif,560,296,uint8,True,,59.0,,59.0,,65.0,,63.0,,69.0,,0.0,6.0,6.0,-2.0,4.0,6.0,10.0
DB2_B,101_4.tif,560,296,uint8,True,,68.0,,68.0,,62.0,,66.0,,60.0,,0.0,-6.0,-6.0,4.0,-2.0,-6.0,-8.0
DB2_B,101_5.tif,560,296,uint8,True,,75.0,,75.0,,80.0,,72.0,,69.0,,0.0,5.0,5.0,-8.0,-3.0,-3.0,-6.0
DB2_B,101_6.tif,560,296,uint8,True,,63.0,,63.0,,70.0,,71.0,,59.0,,0.0,7.0,7.0,1.0,8.0,-12.0,-4.0
DB2_B,101_7.tif,560,296,uint8,True,,21.0,,21.0,,39.0,,39.0,,53.0,,0.0,18.0,18.0,0.0,18.0,14.0,32.0
