database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,106_2.tif,raw,73.0,,data\raw\DB1_B\106_2.tif,374,388,uint8
DB1_B,106_2.tif,step0,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_2.tif,stage1,89.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_2.tif,stage2,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_2.tif,stage3,62.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_3.tif,raw,79.0,,data\raw\DB1_B\106_3.tif,374,388,uint8
DB1_B,106_3.tif,step0,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_3.tif,stage1,83.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_3.tif,stage2,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_3.tif,stage3,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_4.tif,raw,77.0,,data\raw\DB1_B\106_4.tif,374,388,uint8
DB1_B,106_4.tif,step0,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_4.tif,stage1,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_4.tif,stage2,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_4.tif,stage3,53.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_5.tif,raw,71.0,,data\raw\DB1_B\106_5.tif,374,388,uint8
DB1_B,106_5.tif,step0,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_5.tif,stage1,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_5.tif,stage2,77.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_5.tif,stage3,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_6.tif,raw,72.0,,data\raw\DB1_B\106_6.tif,374,388,uint8
DB1_B,106_6.tif,step0,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_6.tif,stage1,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_6.tif,stage2,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_6.tif,stage3,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_7.tif,raw,76.0,,data\raw\DB1_B\106_7.tif,374,388,uint8
DB1_B,106_7.tif,step0,76.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_7.tif,stage1,82.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_7.tif,stage2,83.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_7.tif,stage3,80.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_8.tif,raw,71.0,,data\raw\DB1_B\106_8.tif,374,388,uint8
