db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
DB2_B,108_4.tif,55.0,,63.0,,68.0,,70.0,,8.0,5.0,2.0,15.0
DB2_B,108_5.tif,52.0,,56.0,,69.0,,59.0,,4.0,13.0,-10.0,7.0
DB2_B,108_6.tif,58.0,,67.0,,59.0,,57.0,,9.0,-8.0,-2.0,-1.0
DB2_B,108_7.tif,68.0,,67.0,,69.0,,59.0,,-1.0,2.0,-10.0,-9.0
DB2_B,108_8.tif,35.0,,48.0,,56.0,,53.0,,13.0,8.0,-3.0,18.0
DB2_B,109_1.tif,32.0,,51.0,,56.0,,51.0,,19.0,5.0,-5.0,19.0
DB2_B,109_2.tif,47.0,,62.0,,67.0,,62.0,,15.0,5.0,-5.0,15.0
DB2_B,109_3.tif,48.0,,51.0,,48.0,,40.0,,3.0,-3.0,-8.0,-8.0
DB2_B,109_4.tif,41.0,,51.0,,53.0,,47.0,,10.0,2.0,-6.0,6.0
DB2_B,109_5.tif,52.0,,41.0,,35.0,,43.0,,-11.0,-6.0,8.0,-9.0
DB2_B,109_6.tif,17.0,,32.0,,50.0,,43.0,,15.0,18.0,-7.0,26.0
DB2_B,109_7.tif,21.0,,45.0,,52.0,,52.0,,24.0,7.0,0.0,31.0
DB2_B,109_8.tif,9.0,,7.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,23.0,,-2.0,,,14.0
DB2_B,110_1.tif,47.0,,59.0,,64.0,,61.0,,12.0,5.0,-3.0,14.0
DB2_B,110_2.tif,43.0,,51.0,,62.0,,60.0,,8.0,11.0,-2.0,17.0
DB2_B,110_3.tif,33.0,,51.0,,62.0,,59.0,,18.0,11.0,-3.0,26.0
DB2_B,110_4.tif,30.0,,31.0,,53.0,,57.0,,1.0,22.0,4.0,27.0
DB2_B,110_5.tif,33.0,,33.0,,44.0,,46.0,,0.0,11.0,2.0,13.0
DB2_B,110_6.tif,24.0,,19.0,,37.0,,53.0,,-5.0,18.0,16.0,29.0
DB2_B,110_7.tif,26.0,,34.0,,52.0,,78.0,,8.0,18.0,26.0,52.0
DB2_B,110_8.tif,10.0,,13.0,,36.0,,38.0,,3.0,23.0,2.0,28.0
DB3_B,101_1.tif,40.0,,40.0,,52.0,,64.0,,0.0,12.0,12.0,24.0
DB3_B,101_2.tif,32.0,,48.0,,57.0,,44.0,,16.0,9.0,-13.0,12.0
DB3_B,101_3.tif,38.0,,41.0,,59.0,,57.0,,3.0,18.0,-2.0,19.0
DB3_B,101_4.tif,17.0,,33.0,,46.0,,58.0,,16.0,13.0,12.0,41.0
DB3_B,101_5.tif,42.0,,42.0,,58.0,,46.0,,0.0,16.0,-12.0,4.0
DB3_B,101_6.tif,38.0,,35.0,,47.0,,56.0,,-3.0,12.0,9.0,18.0
DB3_B,101_7.tif,30.0,,38.0,,52.0,,45.0,,8.0,14.0,-7.0,15.0
DB3_B,101_8.tif,20.0,,31.0,,37.0,,37.0,,11.0,6.0,0.0,17.0
DB3_B,102_1.tif,21.0,,37.0,,44.0,,49.0,,16.0,7.0,5.0,28.0
DB3_B,102_2.tif,19.0,,39.0,,50.0,,56.0,,20.0,11.0,6.0,37.0
DB3_B,102_3.tif,21.0,,30.0,,44.0,,49.0,,9.0,14.0,5.0,28.0
DB3_B,102_4.tif,26.0,,33.0,,63.0,,47.0,,7.0,30.0,-16.0,21.0
DB3_B,102_5.tif,44.0,,53.0,,62.0,,57.0,,9.0,9.0,-5.0,13.0
DB3_B,102_6.tif,45.0,,65.0,,63.0,,57.0,,20.0,-2.0,-6.0,12.0
DB3_B,102_7.tif,12.0,,29.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,51.0,,17.0,,,39.0
DB3_B,102_8.tif,15.0,,28.0,,47.0,,53.0,,13.0,19.0,6.0,38.0
DB3_B,103_1.tif,30.0,,44.0,,48.0,,57.0,,14.0,4.0,9.0,27.0
DB3_B,103_2.tif,28.0,,35.0,,41.0,,46.0,,7.0,6.0,5.0,18.0
DB3_B,103_3.tif,36.0,,37.0,,55.0,,54.0,,1.0,18.0,-1.0,18.0
DB3_B,103_4.tif,52.0,,64.0,,48.0,,56.0,,12.0,-16.0,8.0,4.0
DB3_B,103_5.tif,38.0,,30.0,,49.0,,49.0,,-8.0,19.0,0.0,11.0
DB3_B,103_6.tif,14.0,,37.0,,59.0,,58.0,,23.0,22.0,-1.0,44.0
DB3_B,103_7.tif,28.0,,33.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,40.0,,5.0,,,12.0
DB3_B,103_8.tif,20.0,,27.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,7.0,,,
DB3_B,104_1.tif,34.0,,49.0,,48.0,,52.0,,15.0,-1.0,4.0,18.0
DB3_B,104_2.tif,34.0,,43.0,,48.0,,52.0,,9.0,5.0,4.0,18.0
DB3_B,104_3.tif,19.0,,40.0,,43.0,,44.0,,21.0,3.0,1.0,25.0
DB3_B,104_4.tif,18.0,,14.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-4.0,,,
DB3_B,104_5.tif,39.0,,43.0,,52.0,,63.0,,4.0,9.0,11.0,24.0
DB3_B,104_6.tif,26.0,,32.0,,43.0,,50.0,,6.0,11.0,7.0,24.0
DB3_B,104_7.tif,23.0,,39.0,,55.0,,54.0,,16.0,16.0,-1.0,31.0
DB3_B,104_8.tif,26.0,,27.0,,42.0,,50.0,,1.0,15.0,8.0,24.0
DB3_B,105_1.tif,15.0,,22.0,,38.0,,43.0,,7.0,16.0,5.0,28.0
DB3_B,105_2.tif,20.0,,23.0,,33.0,,39.0,,3.0,10.0,6.0,19.0
DB3_B,105_3.tif,18.0,,36.0,,48.0,,57.0,,18.0,12.0,9.0,39.0
DB3_B,105_4.tif,48.0,,46.0,,51.0,,56.0,,-2.0,5.0,5.0,8.0
DB3_B,105_5.tif,35.0,,42.0,,41.0,,44.0,,7.0,-1.0,3.0,9.0
DB3_B,105_6.tif,33.0,,53.0,,50.0,,53.0,,20.0,-3.0,3.0,20.0
DB3_B,105_7.tif,32.0,,37.0,,38.0,,45.0,,5.0,1.0,7.0,13.0
DB3_B,105_8.tif,32.0,,33.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,36.0,,1.0,,,4.0
DB3_B,106_1.tif,34.0,,55.0,,50.0,,53.0,,21.0,-5.0,3.0,19.0
DB3_B,106_2.tif,32.0,,39.0,,53.0,,47.0,,7.0,14.0,-6.0,15.0
DB3_B,106_3.tif,29.0,,41.0,,53.0,,55.0,,12.0,12.0,2.0,26.0
DB3_B,106_4.tif,40.0,,42.0,,53.0,,43.0,,2.0,11.0,-10.0,3.0
DB3_B,106_5.tif,19.0,,27.0,,35.0,,37.0,,8.0,8.0,2.0,18.0
DB3_B,106_6.tif,22.0,,24.0,,41.0,,38.0,,2.0,17.0,-3.0,16.0
DB3_B,106_7.tif,14.0,,9.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-5.0,,,
DB3_B,106_8.tif,9.0,,6.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-3.0,,,
DB3_B,107_1.tif,29.0,,39.0,,46.0,,35.0,,10.0,7.0,-11.0,6.0
DB3_B,107_2.tif,14.0,,23.0,,31.0,,33.0,,9.0,8.0,2.0,19.0
DB3_B,107_3.tif,16.0,,21.0,,39.0,,39.0,,5.0,18.0,0.0,23.0
DB3_B,107_4.tif,32.0,,42.0,,46.0,,42.0,,10.0,4.0,-4.0,10.0
DB3_B,107_5.tif,26.0,,30.0,,49.0,,45.0,,4.0,19.0,-4.0,19.0
DB3_B,107_6.tif,16.0,,24.0,,39.0,,53.0,,8.0,15.0,14.0,37.0
DB3_B,107_7.tif,12.0,,21.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,9.0,,,
DB3_B,107_8.tif,9.0,,15.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,6.0,,,
DB3_B,108_1.tif,33.0,,35.0,,31.0,,30.0,,2.0,-4.0,-1.0,-3.0
DB3_B,108_2.tif,24.0,,21.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,-3.0,,,
DB3_B,108_3.tif,5.0,,11.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,6.0,,,
DB3_B,108_4.tif,9.0,,12.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,3.0,,,
DB3_B,108_5.tif,27.0,,31.0,,36.0,,40.0,,4.0,5.0,4.0,13.0
DB3_B,108_6.tif,37.0,,31.0,,24.0,,44.0,,-6.0,-7.0,20.0,7.0
DB3_B,108_7.tif,18.0,,37.0,,30.0,,36.0,,19.0,-7.0,6.0,18.0
DB3_B,108_8.tif,19.0,,26.0,,27.0,,32.0,,7.0,1.0,5.0,13.0
DB3_B,109_1.tif,11.0,,21.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,23.0,,10.0,,,12.0
DB3_B,109_2.tif,17.0,,20.0,,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,,Error: NFIQ2 computeUnifiedQualityScore returned an error code: Could not create feature set from raw data: FRFXLL_ERR_FB_TOO_SMALL_AREA: Fingerprint area is too small. Most likely this is because the tip of the finger is presented.,3.0,,,
