variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2a_minus_p6,DB1_B,104_2.tif,74.0,,62.0,,-12.0
v2b_minus_p1,DB1_B,104_2.tif,74.0,,84.0,,10.0
v2b_minus_p2,DB1_B,104_2.tif,74.0,,81.0,,7.0
v2b_minus_p6,DB1_B,104_2.tif,74.0,,75.0,,1.0
v2a_minus_p1,DB1_B,104_3.tif,74.0,,58.0,,-16.0
v2a_minus_p2,DB1_B,104_3.tif,74.0,,58.0,,-16.0
v2a_minus_p6,DB1_B,104_3.tif,74.0,,55.0,,-19.0
v2b_minus_p1,DB1_B,104_3.tif,74.0,,71.0,,-3.0
v2b_minus_p2,DB1_B,104_3.tif,74.0,,77.0,,3.0
v2b_minus_p6,DB1_B,104_3.tif,74.0,,81.0,,7.0
v2a_minus_p1,DB1_B,104_4.tif,73.0,,62.0,,-11.0
v2a_minus_p2,DB1_B,104_4.tif,73.0,,64.0,,-9.0
v2a_minus_p6,DB1_B,104_4.tif,73.0,,52.0,,-21.0
v2b_minus_p1,DB1_B,104_4.tif,73.0,,76.0,,3.0
v2b_minus_p2,DB1_B,104_4.tif,73.0,,66.0,,-7.0
v2b_minus_p6,DB1_B,104_4.tif,73.0,,88.0,,15.0
v2a_minus_p1,DB1_B,104_5.tif,66.0,,57.0,,-9.0
v2a_minus_p2,DB1_B,104_5.tif,66.0,,71.0,,5.0
v2a_minus_p6,DB1_B,104_5.tif,66.0,,54.0,,-12.0
v2b_minus_p1,DB1_B,104_5.tif,66.0,,68.0,,2.0
v2b_minus_p2,DB1_B,104_5.tif,66.0,,71.0,,5.0
v2b_minus_p6,DB1_B,104_5.tif,66.0,,69.0,,3.0
v2a_minus_p1,DB1_B,104_6.tif,63.0,,65.0,,2.0
v2a_minus_p2,DB1_B,104_6.tif,63.0,,58.0,,-5.0
v2a_minus_p6,DB1_B,104_6.tif,63.0,,51.0,,-12.0
v2b_minus_p1,DB1_B,104_6.tif,63.0,,64.0,,1.0
v2b_minus_p2,DB1_B,104_6.tif,63.0,,76.0,,13.0
v2b_minus_p6,DB1_B,104_6.tif,63.0,,74.0,,11.0
v2a_minus_p1,DB1_B,104_7.tif,76.0,,57.0,,-19.0
v2a_minus_p2,DB1_B,104_7.tif,76.0,,65.0,,-11.0
v2a_minus_p6,DB1_B,104_7.tif,76.0,,61.0,,-15.0
v2b_minus_p1,DB1_B,104_7.tif,76.0,,66.0,,-10.0
v2b_minus_p2,DB1_B,104_7.tif,76.0,,69.0,,-7.0
v2b_minus_p6,DB1_B,104_7.tif,76.0,,68.0,,-8.0
v2a_minus_p1,DB1_B,104_8.tif,69.0,,66.0,,-3.0
v2a_minus_p2,DB1_B,104_8.tif,69.0,,64.0,,-5.0
v2a_minus_p6,DB1_B,104_8.tif,69.0,,56.0,,-13.0
v2b_minus_p1,DB1_B,104_8.tif,69.0,,78.0,,9.0
v2b_minus_p2,DB1_B,104_8.tif,69.0,,77.0,,8.0
v2b_minus_p6,DB1_B,104_8.tif,69.0,,67.0,,-2.0
v2a_minus_p1,DB1_B,105_1.tif,48.0,,51.0,,3.0
v2a_minus_p2,DB1_B,105_1.tif,48.0,,54.0,,6.0
v2a_minus_p6,DB1_B,105_1.tif,48.0,,44.0,,-4.0
v2b_minus_p1,DB1_B,105_1.tif,48.0,,44.0,,-4.0
v2b_minus_p2,DB1_B,105_1.tif,48.0,,53.0,,5.0
v2b_minus_p6,DB1_B,105_1.tif,48.0,,51.0,,3.0
v2a_minus_p1,DB1_B,105_2.tif,80.0,,73.0,,-7.0
v2a_minus_p2,DB1_B,105_2.tif,80.0,,72.0,,-8.0
v2a_minus_p6,DB1_B,105_2.tif,80.0,,55.0,,-25.0
v2b_minus_p1,DB1_B,105_2.tif,80.0,,69.0,,-11.0
v2b_minus_p2,DB1_B,105_2.tif,80.0,,70.0,,-10.0
v2b_minus_p6,DB1_B,105_2.tif,80.0,,78.0,,-2.0
v2a_minus_p1,DB1_B,105_3.tif,77.0,,62.0,,-15.0
v2a_minus_p2,DB1_B,105_3.tif,77.0,,64.0,,-13.0
v2a_minus_p6,DB1_B,105_3.tif,77.0,,68.0,,-9.0
v2b_minus_p1,DB1_B,105_3.tif,77.0,,66.0,,-11.0
