database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB2_B,101_1.tif,data/raw/DB2_B/101_1.tif,71.0,80.0,80.0,78.0,9.0,0.0,-2.0,7.0,success,,,,,,True,560x296,uint8,0.06548109999857843,1.693539800005965,1.7596560000019963
DB2_B,101_2.tif,data/raw/DB2_B/101_2.tif,70.0,75.0,75.0,72.0,5.0,0.0,-3.0,2.0,success,,,,,,True,560x296,uint8,0.06744400000025053,1.671246700003394,1.7393068000019412
DB2_B,101_3.tif,data/raw/DB2_B/101_3.tif,59.0,78.0,78.0,72.0,19.0,0.0,-6.0,13.0,success,,,,,,True,560x296,uint8,0.06511429999954998,1.6577974999963772,1.7234806999986176
DB2_B,101_4.tif,data/raw/DB2_B/101_4.tif,68.0,72.0,72.0,78.0,4.0,0.0,6.0,10.0,success,,,,,,True,560x296,uint8,0.06313020000379765,1.6797195999970427,1.7434485999983735
DB2_B,101_5.tif,data/raw/DB2_B/101_5.tif,75.0,74.0,74.0,71.0,-1.0,0.0,-3.0,-4.0,success,,,,,,True,560x296,uint8,0.06359980000706855,1.6677693000019644,1.7319301000025007
DB2_B,101_6.tif,data/raw/DB2_B/101_6.tif,63.0,66.0,66.0,57.0,3.0,0.0,-9.0,-6.0,success,,,,,,True,560x296,uint8,0.06419699999969453,1.6635220999960438,1.7282718999995268
DB2_B,101_7.tif,data/raw/DB2_B/101_7.tif,21.0,40.0,40.0,47.0,19.0,0.0,7.0,26.0,success,,,,,,True,560x296,uint8,0.06861039999785135,1.6685558999961358,1.7378300999989733
DB2_B,101_8.tif,data/raw/DB2_B/101_8.tif,21.0,42.0,42.0,47.0,21.0,0.0,5.0,26.0,success,,,,,,True,560x296,uint8,0.06541180000203894,1.6869468000004417,1.7529957000006107
DB2_B,102_1.tif,data/raw/DB2_B/102_1.tif,68.0,73.0,73.0,67.0,5.0,0.0,-6.0,-1.0,success,,,,,,True,560x296,uint8,0.06456299999990733,1.6629264000002877,1.728133099997649
DB2_B,102_2.tif,data/raw/DB2_B/102_2.tif,63.0,63.0,63.0,61.0,0.0,0.0,-2.0,-2.0,success,,,,,,True,560x296,uint8,0.06336549999832641,1.6622448999987682,1.7262555999986944
DB2_B,102_3.tif,data/raw/DB2_B/102_3.tif,63.0,67.0,67.0,66.0,4.0,0.0,-1.0,3.0,success,,,,,,True,560x296,uint8,0.06318199999805074,1.6791269999957876,1.742938100003812
DB2_B,102_4.tif,data/raw/DB2_B/102_4.tif,60.0,73.0,73.0,73.0,13.0,0.0,0.0,13.0,success,,,,,,True,560x296,uint8,0.0672262999942177,1.649776700003713,1.7175485999978264
DB2_B,102_5.tif,data/raw/DB2_B/102_5.tif,73.0,68.0,68.0,72.0,-5.0,0.0,4.0,-1.0,success,,,,,,True,560x296,uint8,0.06290509999962524,1.686718099997961,1.7501880999989226
DB2_B,102_6.tif,data/raw/DB2_B/102_6.tif,66.0,67.0,67.0,75.0,1.0,0.0,8.0,9.0,success,,,,,,True,560x296,uint8,0.06480329999612877,1.6727536999969743,1.7381772000007913
DB2_B,102_7.tif,data/raw/DB2_B/102_7.tif,78.0,68.0,68.0,72.0,-10.0,0.0,4.0,-6.0,success,,,,,,True,560x296,uint8,0.06433619999734219,1.667632999997295,1.7326287000032607
DB2_B,102_8.tif,data/raw/DB2_B/102_8.tif,57.0,57.0,57.0,65.0,0.0,0.0,8.0,8.0,success,,,,,,True,560x296,uint8,0.06352139999944484,1.6724513999943156,1.736608699997305
DB2_B,103_1.tif,data/raw/DB2_B/103_1.tif,56.0,67.0,67.0,68.0,11.0,0.0,1.0,12.0,success,,,,,,True,560x296,uint8,0.06454890000168234,1.6644381000005524,1.7295968999969773
DB2_B,103_2.tif,data/raw/DB2_B/103_2.tif,48.0,57.0,57.0,58.0,9.0,0.0,1.0,10.0,success,,,,,,True,560x296,uint8,0.06427789999725064,1.6627747000020463,1.7276093999971636
