variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p1,DB1_B,108_1.tif,71.0,,71.0,,0.0
minus_p2,DB1_B,108_1.tif,71.0,,64.0,,-7.0
minus_p6,DB1_B,108_1.tif,71.0,,64.0,,-7.0
minus_p1,DB1_B,108_2.tif,79.0,,62.0,,-17.0
minus_p2,DB1_B,108_2.tif,79.0,,77.0,,-2.0
minus_p6,DB1_B,108_2.tif,79.0,,50.0,,-29.0
minus_p1,DB1_B,108_3.tif,82.0,,75.0,,-7.0
minus_p2,DB1_B,108_3.tif,82.0,,76.0,,-6.0
minus_p6,DB1_B,108_3.tif,82.0,,70.0,,-12.0
minus_p1,DB1_B,108_4.tif,75.0,,77.0,,2.0
minus_p2,DB1_B,108_4.tif,75.0,,78.0,,3.0
minus_p6,DB1_B,108_4.tif,75.0,,76.0,,1.0
minus_p1,DB1_B,108_5.tif,44.0,,72.0,,28.0
minus_p2,DB1_B,108_5.tif,44.0,,56.0,,12.0
minus_p6,DB1_B,108_5.tif,44.0,,69.0,,25.0
minus_p1,DB1_B,108_6.tif,78.0,,75.0,,-3.0
minus_p2,DB1_B,108_6.tif,78.0,,72.0,,-6.0
minus_p6,DB1_B,108_6.tif,78.0,,64.0,,-14.0
minus_p1,DB1_B,108_7.tif,68.0,,73.0,,5.0
minus_p2,DB1_B,108_7.tif,68.0,,70.0,,2.0
minus_p6,DB1_B,108_7.tif,68.0,,54.0,,-14.0
minus_p1,DB1_B,108_8.tif,79.0,,70.0,,-9.0
minus_p2,DB1_B,108_8.tif,79.0,,67.0,,-12.0
minus_p6,DB1_B,108_8.tif,79.0,,54.0,,-25.0
minus_p1,DB1_B,109_1.tif,42.0,,42.0,,0.0
minus_p2,DB1_B,109_1.tif,42.0,,47.0,,5.0
minus_p6,DB1_B,109_1.tif,42.0,,40.0,,-2.0
minus_p1,DB1_B,109_2.tif,67.0,,52.0,,-15.0
minus_p2,DB1_B,109_2.tif,67.0,,58.0,,-9.0
minus_p6,DB1_B,109_2.tif,67.0,,60.0,,-7.0
minus_p1,DB1_B,109_3.tif,37.0,,54.0,,17.0
minus_p2,DB1_B,109_3.tif,37.0,,38.0,,1.0
minus_p6,DB1_B,109_3.tif,37.0,,51.0,,14.0
minus_p1,DB1_B,109_4.tif,27.0,,38.0,,11.0
minus_p2,DB1_B,109_4.tif,27.0,,37.0,,10.0
minus_p6,DB1_B,109_4.tif,27.0,,39.0,,12.0
minus_p1,DB1_B,109_5.tif,57.0,,54.0,,-3.0
