variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2a,DB1_B,107_6.tif,73.0,,67.0,,59.0,,57.0,,-6.0,-8.0,-2.0,-16.0
v2b,DB1_B,107_6.tif,73.0,,87.0,,86.0,,79.0,,14.0,-1.0,-7.0,6.0
v2a,DB1_B,107_7.tif,76.0,,68.0,,64.0,,60.0,,-8.0,-4.0,-4.0,-16.0
v2b,DB1_B,107_7.tif,76.0,,80.0,,80.0,,72.0,,4.0,0.0,-8.0,-4.0
v2a,DB1_B,107_8.tif,51.0,,50.0,,48.0,,47.0,,-1.0,-2.0,-1.0,-4.0
v2b,DB1_B,107_8.tif,51.0,,43.0,,41.0,,48.0,,-8.0,-2.0,7.0,-3.0
v2a,DB1_B,108_1.tif,71.0,,75.0,,64.0,,66.0,,4.0,-11.0,2.0,-5.0
v2b,DB1_B,108_1.tif,71.0,,71.0,,75.0,,81.0,,0.0,4.0,6.0,10.0
v2a,DB1_B,108_2.tif,79.0,,63.0,,50.0,,57.0,,-16.0,-13.0,7.0,-22.0
v2b,DB1_B,108_2.tif,79.0,,80.0,,79.0,,79.0,,1.0,-1.0,0.0,0.0
v2a,DB1_B,108_3.tif,82.0,,71.0,,70.0,,58.0,,-11.0,-1.0,-12.0,-24.0
v2b,DB1_B,108_3.tif,82.0,,68.0,,69.0,,70.0,,-14.0,1.0,1.0,-12.0
v2a,DB1_B,108_4.tif,75.0,,80.0,,76.0,,71.0,,5.0,-4.0,-5.0,-4.0
v2b,DB1_B,108_4.tif,75.0,,85.0,,85.0,,73.0,,10.0,0.0,-12.0,-2.0
v2a,DB1_B,108_5.tif,44.0,,51.0,,69.0,,66.0,,7.0,18.0,-3.0,22.0
v2b,DB1_B,108_5.tif,44.0,,71.0,,72.0,,64.0,,27.0,1.0,-8.0,20.0
v2a,DB1_B,108_6.tif,78.0,,50.0,,64.0,,72.0,,-28.0,14.0,8.0,-6.0
v2b,DB1_B,108_6.tif,78.0,,83.0,,90.0,,82.0,,5.0,7.0,-8.0,4.0
v2a,DB1_B,108_7.tif,68.0,,56.0,,54.0,,66.0,,-12.0,-2.0,12.0,-2.0
v2b,DB1_B,108_7.tif,68.0,,73.0,,74.0,,88.0,,5.0,1.0,14.0,20.0
v2a,DB1_B,108_8.tif,79.0,,64.0,,54.0,,66.0,,-15.0,-10.0,12.0,-13.0
v2b,DB1_B,108_8.tif,79.0,,83.0,,86.0,,81.0,,4.0,3.0,-5.0,2.0
v2a,DB1_B,109_1.tif,42.0,,46.0,,40.0,,41.0,,4.0,-6.0,1.0,-1.0
v2b,DB1_B,109_1.tif,42.0,,40.0,,40.0,,47.0,,-2.0,0.0,7.0,5.0
v2a,DB1_B,109_2.tif,67.0,,62.0,,60.0,,52.0,,-5.0,-2.0,-8.0,-15.0
v2b,DB1_B,109_2.tif,67.0,,62.0,,66.0,,65.0,,-5.0,4.0,-1.0,-2.0
v2a,DB1_B,109_3.tif,37.0,,41.0,,51.0,,54.0,,4.0,10.0,3.0,17.0
v2b,DB1_B,109_3.tif,37.0,,44.0,,43.0,,42.0,,7.0,-1.0,-1.0,5.0
v2a,DB1_B,109_4.tif,27.0,,34.0,,39.0,,47.0,,7.0,5.0,8.0,20.0
v2b,DB1_B,109_4.tif,27.0,,40.0,,40.0,,47.0,,13.0,0.0,7.0,20.0
v2a,DB1_B,109_5.tif,57.0,,50.0,,43.0,,44.0,,-7.0,-7.0,1.0,-13.0
v2b,DB1_B,109_5.tif,57.0,,63.0,,58.0,,63.0,,6.0,-5.0,5.0,6.0
v2a,DB1_B,109_6.tif,15.0,,19.0,,19.0,,28.0,,4.0,0.0,9.0,13.0
v2b,DB1_B,109_6.tif,15.0,,15.0,,16.0,,12.0,,0.0,1.0,-4.0,-3.0
v2a,DB1_B,109_7.tif,65.0,,73.0,,72.0,,69.0,,8.0,-1.0,-3.0,4.0
v2b,DB1_B,109_7.tif,65.0,,65.0,,66.0,,70.0,,0.0,1.0,4.0,5.0
v2a,DB1_B,109_8.tif,33.0,,28.0,,27.0,,39.0,,-5.0,-1.0,12.0,6.0
v2b,DB1_B,109_8.tif,33.0,,36.0,,37.0,,38.0,,3.0,1.0,1.0,5.0
v2a,DB1_B,110_1.tif,49.0,,49.0,,49.0,,59.0,,0.0,0.0,10.0,10.0
v2b,DB1_B,110_1.tif,49.0,,52.0,,53.0,,56.0,,3.0,1.0,3.0,7.0
v2a,DB1_B,110_2.tif,53.0,,42.0,,62.0,,60.0,,-11.0,20.0,-2.0,7.0
v2b,DB1_B,110_2.tif,53.0,,59.0,,56.0,,67.0,,6.0,-3.0,11.0,14.0
v2a,DB1_B,110_3.tif,53.0,,50.0,,55.0,,63.0,,-3.0,5.0,8.0,10.0
v2b,DB1_B,110_3.tif,53.0,,65.0,,62.0,,62.0,,12.0,-3.0,0.0,9.0
v2a,DB1_B,110_4.tif,51.0,,50.0,,64.0,,69.0,,-1.0,14.0,5.0,18.0
v2b,DB1_B,110_4.tif,51.0,,62.0,,64.0,,64.0,,11.0,2.0,0.0,13.0
v2a,DB1_B,110_5.tif,55.0,,45.0,,52.0,,56.0,,-10.0,7.0,4.0,1.0
v2b,DB1_B,110_5.tif,55.0,,55.0,,55.0,,56.0,,0.0,0.0,1.0,1.0
v2a,DB1_B,110_6.tif,54.0,,53.0,,60.0,,66.0,,-1.0,7.0,6.0,12.0
v2b,DB1_B,110_6.tif,54.0,,53.0,,54.0,,62.0,,-1.0,1.0,8.0,8.0
v2a,DB1_B,110_7.tif,81.0,,74.0,,60.0,,49.0,,-7.0,-14.0,-11.0,-32.0
v2b,DB1_B,110_7.tif,81.0,,85.0,,92.0,,86.0,,4.0,7.0,-6.0,5.0
v2a,DB1_B,110_8.tif,61.0,,60.0,,63.0,,61.0,,-1.0,3.0,-2.0,0.0
v2b,DB1_B,110_8.tif,61.0,,59.0,,57.0,,72.0,,-2.0,-2.0,15.0,11.0
v2a,DB2_B,101_1.tif,71.0,,84.0,,79.0,,66.0,,13.0,-5.0,-13.0,-5.0
v2b,DB2_B,101_1.tif,71.0,,80.0,,80.0,,75.0,,9.0,0.0,-5.0,4.0
v2a,DB2_B,101_2.tif,70.0,,86.0,,75.0,,67.0,,16.0,-11.0,-8.0,-3.0
v2b,DB2_B,101_2.tif,70.0,,75.0,,75.0,,65.0,,5.0,0.0,-10.0,-5.0
v2a,DB2_B,101_3.tif,59.0,,77.0,,67.0,,70.0,,18.0,-10.0,3.0,11.0
v2b,DB2_B,101_3.tif,59.0,,78.0,,78.0,,69.0,,19.0,0.0,-9.0,10.0
v2a,DB2_B,101_4.tif,68.0,,72.0,,68.0,,52.0,,4.0,-4.0,-16.0,-16.0
v2b,DB2_B,101_4.tif,68.0,,72.0,,72.0,,56.0,,4.0,0.0,-16.0,-12.0
v2a,DB2_B,101_5.tif,75.0,,76.0,,67.0,,66.0,,1.0,-9.0,-1.0,-9.0
v2b,DB2_B,101_5.tif,75.0,,74.0,,74.0,,65.0,,-1.0,0.0,-9.0,-10.0
v2a,DB2_B,101_6.tif,63.0,,65.0,,58.0,,50.0,,2.0,-7.0,-8.0,-13.0
v2b,DB2_B,101_6.tif,63.0,,66.0,,66.0,,60.0,,3.0,0.0,-6.0,-3.0
v2a,DB2_B,101_7.tif,21.0,,47.0,,49.0,,64.0,,26.0,2.0,15.0,43.0
v2b,DB2_B,101_7.tif,21.0,,40.0,,40.0,,53.0,,19.0,0.0,13.0,32.0
v2a,DB2_B,101_8.tif,21.0,,37.0,,60.0,,68.0,,16.0,23.0,8.0,47.0
v2b,DB2_B,101_8.tif,21.0,,42.0,,42.0,,60.0,,21.0,0.0,18.0,39.0
v2a,DB2_B,102_1.tif,68.0,,83.0,,66.0,,67.0,,15.0,-17.0,1.0,-1.0
v2b,DB2_B,102_1.tif,68.0,,73.0,,73.0,,75.0,,5.0,0.0,2.0,7.0
v2a,DB2_B,102_2.tif,63.0,,59.0,,59.0,,50.0,,-4.0,0.0,-9.0,-13.0
v2b,DB2_B,102_2.tif,63.0,,63.0,,63.0,,55.0,,0.0,0.0,-8.0,-8.0
v2a,DB2_B,102_3.tif,63.0,,79.0,,83.0,,73.0,,16.0,4.0,-10.0,10.0
v2b,DB2_B,102_3.tif,63.0,,67.0,,67.0,,75.0,,4.0,0.0,8.0,12.0
v2a,DB2_B,102_4.tif,60.0,,78.0,,61.0,,63.0,,18.0,-17.0,2.0,3.0
v2b,DB2_B,102_4.tif,60.0,,73.0,,73.0,,63.0,,13.0,0.0,-10.0,3.0
v2a,DB2_B,102_5.tif,73.0,,74.0,,67.0,,63.0,,1.0,-7.0,-4.0,-10.0
v2b,DB2_B,102_5.tif,73.0,,68.0,,68.0,,65.0,,-5.0,0.0,-3.0,-8.0
v2a,DB2_B,102_6.tif,66.0,,77.0,,70.0,,67.0,,11.0,-7.0,-3.0,1.0
v2b,DB2_B,102_6.tif,66.0,,67.0,,67.0,,70.0,,1.0,0.0,3.0,4.0
v2a,DB2_B,102_7.tif,78.0,,80.0,,64.0,,64.0,,2.0,-16.0,0.0,-14.0
v2b,DB2_B,102_7.tif,78.0,,68.0,,68.0,,69.0,,-10.0,0.0,1.0,-9.0
v2a,DB2_B,102_8.tif,57.0,,61.0,,75.0,,68.0,,4.0,14.0,-7.0,11.0
v2b,DB2_B,102_8.tif,57.0,,57.0,,57.0,,70.0,,0.0,0.0,13.0,13.0
v2a,DB2_B,103_1.tif,56.0,,72.0,,61.0,,65.0,,16.0,-11.0,4.0,9.0
v2b,DB2_B,103_1.tif,56.0,,67.0,,67.0,,67.0,,11.0,0.0,0.0,11.0
v2a,DB2_B,103_2.tif,48.0,,62.0,,72.0,,65.0,,14.0,10.0,-7.0,17.0
v2b,DB2_B,103_2.tif,48.0,,57.0,,57.0,,72.0,,9.0,0.0,15.0,24.0
v2a,DB2_B,103_3.tif,56.0,,51.0,,46.0,,41.0,,-5.0,-5.0,-5.0,-15.0
v2b,DB2_B,103_3.tif,56.0,,68.0,,64.0,,44.0,,12.0,-4.0,-20.0,-12.0
v2a,DB2_B,103_4.tif,55.0,,72.0,,59.0,,65.0,,17.0,-13.0,6.0,10.0
v2b,DB2_B,103_4.tif,55.0,,61.0,,61.0,,58.0,,6.0,0.0,-3.0,3.0
v2a,DB2_B,103_5.tif,40.0,,49.0,,56.0,,49.0,,9.0,7.0,-7.0,9.0
v2b,DB2_B,103_5.tif,40.0,,46.0,,46.0,,52.0,,6.0,0.0,6.0,12.0
v2a,DB2_B,103_6.tif,48.0,,65.0,,50.0,,55.0,,17.0,-15.0,5.0,7.0
v2b,DB2_B,103_6.tif,48.0,,60.0,,60.0,,50.0,,12.0,0.0,-10.0,2.0
v2a,DB2_B,103_7.tif,49.0,,74.0,,58.0,,48.0,,25.0,-16.0,-10.0,-1.0
v2b,DB2_B,103_7.tif,49.0,,58.0,,58.0,,50.0,,9.0,0.0,-8.0,1.0
v2a,DB2_B,103_8.tif,38.0,,54.0,,57.0,,64.0,,16.0,3.0,7.0,26.0
